Probe Set ID,GSM1008929_Salinity_T.CEL(normalized),GSM1008930_Salinity_C.CEL(normalized)
AFFX-BioB-5_at,0.033059597,-0.033059597
AFFX-BioB-M_at,-0.043251038,0.043251038
AFFX-BioB-3_at,0.006551743,-0.006551266
AFFX-BioC-5_at,-0.012763023,0.012763023
AFFX-BioC-3_at,-0.049619675,0.049619675
AFFX-BioDn-5_at,-0.00862217,0.00862217
AFFX-BioDn-3_at,-0.043681145,0.0436821
AFFX-CreX-5_at,0.005472183,-0.00547123
AFFX-CreX-3_at,0.02178955,-0.02178955
AFFX-DapX-5_at,-0.17420387,0.17420387
AFFX-DapX-M_at,-0.15983677,0.15983677
AFFX-DapX-3_at,-0.1613226,0.1613226
AFFX-LysX-5_at,-0.07946348,0.07946348
AFFX-LysX-M_at,-0.18984365,0.18984365
AFFX-LysX-3_at,-0.07305431,0.07305431
AFFX-PheX-5_at,-0.26135397,0.26135445
AFFX-PheX-M_at,-0.1871314,0.1871314
AFFX-PheX-3_at,-0.06951475,0.06951475
AFFX-ThrX-5_at,-0.25840664,0.25840664
AFFX-ThrX-M_at,-0.18134022,0.18134022
AFFX-ThrX-3_at,-0.10395002,0.10394955
AFFX-TrpnX-5_at,0.07887912,-0.07887912
AFFX-TrpnX-M_at,0.06673622,-0.0667361
AFFX-TrpnX-3_at,-0.12298286,0.12298286
AFFX-r2-Ec-bioB-5_at,0.002386093,-0.002386093
AFFX-r2-Ec-bioB-M_at,-0.02740097,0.02740097
AFFX-r2-Ec-bioB-3_at,-0.020196915,0.020196915
AFFX-r2-Ec-bioC-5_at,-0.036993027,0.036993027
AFFX-r2-Ec-bioC-3_at,-0.002510071,0.002510071
AFFX-r2-Ec-bioD-5_at,-0.054271698,0.054271698
AFFX-r2-Ec-bioD-3_at,-0.013700485,0.013699532
AFFX-r2-P1-cre-5_at,-0.008685112,0.008685112
AFFX-r2-P1-cre-3_at,0.013788223,-0.01378727
AFFX-r2-Bs-dap-5_at,-0.23387241,0.23387241
AFFX-r2-Bs-dap-M_at,-0.14143276,0.14143276
AFFX-r2-Bs-dap-3_at,-0.1076355,0.1076355
AFFX-r2-Bs-lys-5_at,-0.12557364,0.12557364
AFFX-r2-Bs-lys-M_at,-0.12182236,0.12182236
AFFX-r2-Bs-lys-3_at,-0.047846317,0.047846317
AFFX-r2-Bs-phe-5_at,-0.1833539,0.18335342
AFFX-r2-Bs-phe-M_at,-0.31973743,0.31973743
AFFX-r2-Bs-phe-3_at,-0.11069536,0.11069584
AFFX-r2-Bs-thr-5_s_at,-0.22008896,0.22008896
AFFX-r2-Bs-thr-M_s_at,-0.17072296,0.17072344
AFFX-r2-Bs-thr-3_s_at,-0.06927252,0.06927204
AFFX-Gm_18SrRNA_at,0.69341135,-0.69341135
AFFX-Gm_Actin_3_at,-0.11588478,0.11588478
AFFX-Gm_Actin_5_at,-0.12439275,0.12439299
AFFX-Gm_Actin_M_at,-0.05128956,0.05128956
AFFX-Gm_GlutTrans_3_r_at,0.39674664,-0.39674664
AFFX-Gm_GlutTrans_5_s_at,0.3250847,-0.3250847
AFFX-Gm_GlutTrans_M_at,0.3849907,-0.3849907
AFFX-Gm_P450_3_s_at,0.227005,-0.22700405
AFFX-Gm_P450_5_s_at,0.71526146,-0.71526146
AFFX-Gm_P450_M_s_at,0.39502048,-0.39501953
AFFX-Gm_SucBP_3_s_at,-0.03624344,0.03624344
AFFX-Gm_SucBP_5_at,0,0
AFFX-Gm_SucBP_M_s_at,-0.00551939,0.005519152
AFFX-Gm_Ubiquitin_3_at,0.10934496,-0.10934496
AFFX-Gm_Ubiquitin_5_at,0.007399082,-0.007399082
AFFX-Gm_Ubiquitin_M_at,-0.32724142,0.32724142
AFFX-r2-TagA_at,-0.079464674,0.079464674
AFFX-r2-TagB_at,-0.04900694,0.04900694
AFFX-r2-TagC_at,0.1656909,-0.16569078
AFFX-r2-TagD_at,0,0
AFFX-r2-TagE_at,-0.078611374,0.078611374
AFFX-r2-TagF_at,0.31224465,-0.31224465
AFFX-r2-TagG_at,0,0
AFFX-r2-TagH_at,0.11579418,-0.11579394
AFFX-r2-TagJ-3_at,0.054662466,-0.054662466
AFFX-r2-TagJ-5_at,-0.09661484,0.09661484
AFFX-r2-TagO-3_at,0,0
AFFX-r2-TagO-5_at,0.19420123,-0.19420123
AFFX-r2-TagQ-3_at,0.022649765,-0.022649765
AFFX-r2-TagQ-5_at,0.05162382,-0.05162382
AFFX-r2-TagIN-3_at,-0.049007177,0.04900694
AFFX-r2-TagIN-M_at,0.050354242,-0.050354242
AFFX-r2-TagIN-5_at,-0.10425973,0.10425973
AFFX-r2-Ps-actin-5_at,0,0
AFFX-r2-Ps-actin-5_s_at,0.18426228,-0.18426228
AFFX-r2-Ps-actin-M_at,0.032172203,-0.032172203
AFFX-r2-Ps-actin-3_at,0.076999664,-0.076999426
AFFX-r2-Hg-actin-5_at,0,0
AFFX-r2-Hg-actin-5_x_at,0.092905045,-0.092905045
AFFX-r2-Hg-actin-M_at,0.19199681,-0.19199681
AFFX-r2-Hg-actin-M_x_at,0.25137973,-0.25137973
AFFX-r2-Hg-actin-3_at,0,0
AFFX-r2-Hg-actin-3_x_at,0.187536,-0.187536
AFFX-r2-Hg-gapdh-5_at,0,0
AFFX-r2-Hg-gapdh-M_at,-0.0876286,0.0876286
AFFX-r2-Hg-gapdh-3_at,0.18183756,-0.18183756
AFFX-r2-Gma-actin-5_at,-0.21158504,0.21158504
AFFX-r2-Gma-actin-5_x_at,-0.22368813,0.22368813
AFFX-r2-Gma-actin-M_at,-0.16083145,0.16083145
AFFX-r2-Gma-actin-3_at,-0.03989601,0.03989601
AFFX-r2-Gma-gapdh-M_at,0.066093445,-0.06609249
AFFX-r2-Gma-gapdh-M_x_at,0.02204132,-0.02204132
AFFX-r2-Gma-gapdh-3_s_at,0.11195946,-0.11195946
AFFX-Gma-U43284-1_s_at,0.09019494,-0.09019494
AFFX-Gma-AY342347_s_at,-0.09381223,0.09381223
AFFX-Gma-AJ002682-1_s_at,0,0
AFFX-Gma-AJ002682-2_s_at,-0.081929445,0.081929445
AFFX-Gma-X58791-1_s_at,-0.21954703,0.21954703
AFFX-Gma-X58791-2_s_at,0.1384213,-0.13842106
AFFX-Gma-M10961-1_at,0.08240056,-0.08240056
