geneID,Mt_Mapped_count,Mt_RPKM,H2O_Mapped_count,H2O_RPKM,NaCl_Mapped_count,NaCl_RPKM,Na&Mt_Mapped_count,Na&Mt_RPKM
Glyma0021s00460.1|PACid:16242642,136,2.474,207,3.747,170,2.483,313,3.532
Glyma0021s00660.1|PACid:16242643,1,0,0,0,0,0,1,0
Glyma0022s00200.1|PACid:16242644,19,0.579,8,0,10,0.245,5,0
Glyma0022s00420.1|PACid:16242647,1054,18.754,1530,27.092,1362,19.462,1886,20.82
Glyma0022s00430.1|PACid:16242648,60,5.371,25,2.227,8,0.575,32,1.777
Glyma0022s00460.1|PACid:16242651,3,0,0,0,0,0,2,0
Glyma0022s00480.1|PACid:16242654,305,11.095,126,4.561,65,1.899,229,5.168
Glyma0023s00200.1|PACid:16242658,2,0.014,5,0.034,5,0.028,5,0.021
Glyma0023s00410.1|PACid:16242660,506,12.469,1669,40.929,668,13.22,2822,43.146
Glyma0023s00610.1|PACid:16242661,36,1.611,50,2.227,27,0.971,82,2.277
Glyma0023s00620.1|PACid:16242662,44,5.364,48,5.823,41,4.014,77,5.824
Glyma0023s00830.1|PACid:16242664,0,0,0,0,2,0,0,0
Glyma0024s00230.1|PACid:16242668,160,5.914,53,1.95,75,2.226,106,2.431
Glyma0024s00230.2|PACid:16242669,178,6.579,53,1.95,79,2.345,153,3.509
Glyma0024s00260.1|PACid:16242671,785,14.819,164,3.081,321,4.867,447,5.235
Glyma0024s00260.2|PACid:16242672,406,10.621,62,1.614,179,3.761,220,3.571
Glyma0025s00200.1|PACid:16242682,20,0.54,33,0.888,41,0.89,29,0.486
Glyma0028s00210.1|PACid:16242685,1031,14.767,2108,30.048,1284,14.77,2785,24.75
Glyma0028s00210.2|PACid:16242686,527,8.739,1002,16.536,796,10.601,1539,15.834
Glyma0041s00200.1|PACid:16242688,100,2.076,14,0.289,32,0.533,18,0.232
Glyma0041s00210.1|PACid:16242689,231,6.634,126,3.601,164,3.782,97,1.728
Glyma0041s00240.1|PACid:16242692,5,0,2,0,38,1.451,1,0
Glyma0041s00260.1|PACid:16242694,219,4.762,43,0.93,17,0.297,108,1.457
Glyma0041s00260.2|PACid:16242695,227,4.936,56,1.212,19,0.332,86,1.16
Glyma0041s00260.3|PACid:16242696,245,5.327,31,0.671,18,0.314,121,1.632
Glyma0041s00270.1|PACid:16242697,22,1.042,39,1.838,25,0.951,68,1.998
Glyma0041s00280.1|PACid:16242698,894,39.705,150,6.63,264,9.417,460,12.676
Glyma0041s00290.1|PACid:16242699,122,1.861,139,2.111,178,2.181,336,3.181
Glyma0041s00290.2|PACid:16242700,97,1.514,113,1.756,186,2.332,248,2.402
Glyma0041s00300.1|PACid:16242701,316,15.881,393,19.656,607,24.5,681,21.235
Glyma0041s00300.2|PACid:16242702,285,14.45,336,16.954,467,19.016,553,17.396
Glyma0041s00310.1|PACid:16242703,26,0.859,40,1.315,25,0.663,43,0.881
Glyma0041s00350.1|PACid:16242707,58,2.144,7,0,45,1.336,8,0.183
Glyma0041s00360.1|PACid:16242708,296,11.616,20,0.781,0,0,0,0
Glyma0042s00430.1|PACid:16242713,2,0.051,0,0,2,0,1,0.016
Glyma0042s00440.1|PACid:16242714,29,2.117,41,2.978,45,2.638,76,3.442
